랠리	ラリー
뤼베크	リューベック
보스코	ボスコ
켈시	ケルシー
순례지	巡礼
인내	我慢
인내	忍耐
인내	根気
지협	地峡
타이트	きつい
리바이	レビ
위증	偽証
확신	自信
튜플	タプル
불가타	ヴルガータ
리퀴드	液体
나사렛	ナザレ
취소됨	破棄
탁자	テーブル
배낭	リュックサック
무거워	重い
무거워	ヘビー
레지던스	住居
레지던스	居所
간질	てんかん
분류학	分類
로데오	ロデオ
손님들	ゲスト
브라이언트	ブライアント
방문하기	訪問
들여쓰기	インデント
캔턴	広東
캔턴	カントン
교차점	交差点
체격	体格
라벤더	ラベンダー
말보로	マールボロ
사미르	サミル
화려하다	豪華
화려하다	ゴージャス
바비큐	バーベキュー
헤론	サギ
르블랑	ルブラン
부정행위	カンニング
부정행위	浮気
스시	すし
스시	寿司
우쿨렐레	ウクレレ
핑계	いいわけ
핑계	言い訳
세스나	セスナ
코리더	回廊
코리더	廊下
도오	北海道
폭우	豪雨
화분	ポット
볼드모트	ヴォルデモート
지표면	表面
지표면	曲面
갤러리아	galleria
액자	フレーム
강렬하게	激しい
베데스다	ベセスダ
바이패스	バイパス
안티바이러스	antivirus
에밋	エメット
저항성	抵抗
저항성	レジスタンス
개혁개방	改革
개혁개방	革新
개혁개방	リフォーム
반딧불이	ホタル
겹치기	重複
왕좌	玉座
타카오카	高岡
파타고니아	パタゴニア
환불	返金
동감	同上
독성도	毒性
디스패치	派遣
디스패치	発送
플래닝	計画
플래닝	企画
플래닝	プランニング
씻어	洗う
씻어	ウォッシュ
월컷	ウォルコット
쾌락	快感
쾌락	喜び
쾌락	快楽
금발이	金髪
금발이	ブロンド
구월	九月
식별하기	識別
화질이	品質
화질이	クオリティ
화질이	画質
화질이	quality
매니페스토	マニフェスト
사제들	司祭
개구리목	カエル
조립식	プレハブ
아무거나	何でも
복사본	コピー
복사본	部数
투우	闘牛
굽기	焼き
굽기	火傷
굽기	やけど
굽기	burn
반자이	万歳
반자이	バンザイ
피피	血液
피피	ブラッド
융커스	ユンカース
베어드	ベアード
대동맥	大動脈
융단	カーペット
융단	じゅうたん
융단	絨毯
일렉트라	エレクトラ
쉐라톤	シェラトン
커누스	クヌース
햇살이	サンシャイン
햇살이	日光
햇살이	日差し
스패니얼	スパニエル
금단	脱退
금단	離脱
금단	撤退
탄력성	弾性
트롤리버스	トロリーバス
계산법	計算
계산법	算定
스코필드	スコフィールド
건전지	電池
봉지	バッグ
봉지	かばん
멜번	メルボルン
엔터테이너	タレント
엔터테이너	興行
엔터테이너	芸能人
아스트리드	アストリッド
슈슈	砂糖
타코마	タコマ
당뇨	糖尿病
화학물질	化学
타조	ダチョウ
헤이븐	ヘイヴン
비상사태	緊急
저승	来世
저승	あの世
합병증	合併症
로카르노	ロカルノ
안식일	安息日
마카로니	マカロニ
크로스로드	十字路
모노리스	monolith
한숨	ため息
석류	ザクロ
아마겟돈	アルマゲドン
임팔라	インパラ
클리퍼	クリッパー
엘리자벳	エリザベート
스모그	スモッグ
튜바	チューバ
박애	友愛
판단력	判断
판단력	判決
형태론	形態
그로즈니	グロズヌイ
얼룩말	シマウマ
상속인	相続
수건	タオル
몽키스	サル
켐니츠	ケムニッツ
투영	投影
인간들	ヒト
두리안	ドリアン
대답해	回答
대답해	答え
대답해	答弁
블레이저	ブレザー
블레이저	ブレイザー
실내에	屋内
아이누어	アイヌ
마르티네즈	マルティネス
별점	評価
별점	格付
크러쉬	クラッシュ
갬블	ギャンブル
리비전	改正
리비전	改定
경례	敬礼
다하우	ダッハウ
사이코패스	サイコパス
무례하게	無礼
브라우니	ブローニー
브라우니	ブラウニー
넙치	オヒョウ
더스티	ダスティ
체크인	チェックイン
납세	租税
납세	税金
다우닝	ダウニング
바느질	裁縫
바느질	縫製
켄타우로스	ケンタウロス
중합체	高分子
보컬로이드	vocaloid
장난꾸러기	いたずら
국물	ブイヨン
국물	ブロス
르브론	レブロン
번역하기	翻訳
냉장	冷蔵
냉장	冷却
미륵보살	弥勒菩薩
슬레이트	スレート
모터보트	モーターボート
우드워드	ウッドワード
스트라우스	シュトラウス
홍역	麻疹
이구아수	イグアス
웨어하우스	倉庫
인두	咽頭
플리즈	ノミ
인센티브	インセンティブ
훈제	燻製
마티스	マシス
알로하	アロハ
델프트	delft
살로메	サロメ
헐리	ハーレー
보디빌딩	ボディビルダー
아침밥	朝食
알타	アルタ
숙제	宿題
읽음	読み
읽음	読み込み
읽음	読み取り
읽음	読む
베네룩스	ベネルクス
자포리자	ザポリージャ
토리이	鳥居
후루이치	古市
수로로	水路
엘사	エルザ
엘사	エルサ
농장이	農場
농장이	ファーム
극단주의	過激派
번들	バンドル
마카사르	マカッサル
아이언스	アイアンズ
슬로	slo
도법	投影
순결	純潔
봉투	封筒
자이로스코프	ジャイロスコープ
주빌리	ジュビリー
전채	前菜
싸이코	サイコ
베이트먼	ベイトマン
마흔	四十
트라이엄프	トライアンフ
대븐포트	ダベンポート
플라멩코	フラメンコ
커뮤니케이터	communicator
바리스타	バリスタ
리플	リップル
빼빼로	引く
빼빼로	減算
웬델	ウェンデル
타이터스	ティトゥス
타이터스	タイタス
청소기	クリーナー
지정합니다	指定
추위	風邪
추위	コールド
추위	冷たい
추위	寒い
퓨마	クーガー
퓨마	ピューマ
그레고어	グレゴール
변장	変装
롬니	ロムニー
오카리나	オカリナ
싸워라	ファイト
창조주	クリエーター
베네딕도	ベネディクト
베리베리	ベリー
앳킨스	アトキンス
보냅니다	送信
보냅니다	送る
몸매	本文
몸매	身体
몸매	本体
몸매	ボディ
채플	チャペル
굴욕	屈辱
파생상품	デリバティブ
회계학	経理
회계학	会計
이스마엘	イスマエル
충분해	十分
다듬기	整える
다듬기	トリム
로그아웃	ログアウト
빨려	散々
시온주의	シオニズム
방황	さまよう
오븐	オーブン
앵두	サクランボ
앵두	さくらんぼ
파빌리온	パビリオン
오르가슴	オーガズム
조르다노	ジョルダーノ
러스	ラス
비디오테이프	ビデオテープ
급속	快速
앤티크	アンティーク
광범위	広い
스텐	スタン
베이지	ベージュ
발견됨	検知
결점	欠点
블레인	ブレイン
하스켈	ハスケル
호스피스	ホスピス
연민	思いやり
연민	同情
미모사	ミモザ
고우다	ゴーダ
감염증	伝染病
감염증	感染
발신	差出人
새장	ケージ
간결	簡潔
외투	オーバー
외투	外套
맥켄지	マッケンジー
세고비아	セゴビア
경멸	軽蔑
치약	歯磨き
치약	歯磨き粉
크래커	クラッカー
생김	壊れた
불공평한	不公平
바레세	ヴァレーゼ
고리치아	ゴリツィア
혈우병	血友病
성숙도	満期
아시모프	アシモフ
슬프다	悲しい
슬프다	sad
로레인	ロレーヌ
피콕	クジャク
무섭다	怖い
눈썹이	眉毛
커머스	商業
커머스	コマース
밍크	ミンク
메헬렌	メヘレン
프로토타입을	プロトタイプ
라푼젤	ラプンツェル
통풍	痛風
모뉴먼트	モニュメント
모뉴먼트	記念碑
마커	マーカー
지오메트리	ジオメトリ
지오메트리	図形
축복받은	祝福
단편화	フラグメンテーション
오세티야	オセチア
경륜	競輪
캐러밴	キャラバン
캐릭	キャリック
팔라딘	パラディン
토플	toefl
참석합니다	出席
렌트	レンタル
렌트	家賃
렌트	借りる
렌트	レント
하이퐁	ハイフォン
정밀도	正確性
정밀도	精度
에스트로겐	エストロゲン
아이러니	皮肉
도체스터	ドーチェスター
큐레이터	キュレーター
모놀리식	モノリシック
카프리	カプリ
클리닝	クリーニング
클리닝	洗浄
클리닝	清掃
클리닝	掃除
파이오니아	パイオニア
지갑	財布
쿠션	クッション
지하도	地下
지하도	地下室
수액	流体
상품화	マーチャンダイジング
백내장	白内障
칠면조	トルコ
칠면조	七面鳥
버로스	バローズ
수면제	睡眠薬
도둑질	窃盗
코넬리우스	コルネリウス
코넬리우스	コーネリアス
다치	太刀
파고다	仏塔
로렐	ローレル
엑스칼리버	エクスカリバー
카테고리가	カテゴリー
카테고리가	カテゴリ
카테고리가	分類
대접	おもてなし
대접	接客
따뜻하다	あったかい
따뜻하다	暖かい
따뜻하다	温かい
이력서	再開
로댕	ロダン
세리프	セリフ
차우	チャウ
차우	チャウチャウ
오울루	オウル
홍합	ムール貝
예리코	エリコ
헤모글로빈	ヘモグロビン
살찐	脂肪
으깬	マッシュ
주택지	住居
주택지	居所
추진력	推力
콜라겐	コラーゲン
틸다	ティルダ
애국적	愛国心
신혼여행	新婚旅行
신혼여행	ハネムーン
시토크롬	シトクロム
브레이	ブレイ
지치게	疲労
트래킹	トラッキング
룰렛	ルーレット
빨강머리	赤毛
브린디시	ブリンディジ
삼킬	飲み込む
삼킬	ツバメ
밧줄	ロープ
아들러	アドラー
네이피어	ネイピア
욕심쟁이	欲張り
부끄러워	人見知り
부끄러워	シャイ
엄지손가락	親指
라바울	ラバウル
타라와	タラワ
멈추기	停止
멈추기	ストップ
알약	錠剤
돌풍	旋風
친절	親切
핸드백	ハンドバッグ
유용합니다	役に立つ
거만	傲慢
환자들	患者
혈당	グルコース
버핏	バフェット
항공권	切符
항공권	チケット
룰루	ルル
괴델	ゲーデル
플레이어스	選手
플레이어스	プレイヤー
수신자	宛先
잎새	葉っぱ
임대료	レンタル
임대료	家賃
임대료	借りる
임대료	レント
크로스비	クロスビー
브랜트	ブラント
욕실	浴室
두오모	ドゥオーモ
정중	正中
메이시	メイシー
천지창조	ジェネシス
콩팥	腎臓
실망	失望
실망	がっかり
교사들	教員
교사들	教師
머플러	マフラー
가입하기	参加
니우에	ニウエ
코스트코	コストコ
영양소	栄養素
율리아누스	ジュリアン
하마스	ハマース
쿠폰	オファー
쿠폰	申し出
쿠폰	クーポン
사프란	サフラン
데코	デコ
레빗	レヴィット
총상	銃声
노랫말	歌詞
노랫말	作詞
텐션	緊張
텐션	テンション
닫기	閉じる
뜨겁다	熱い
뜨겁다	ホット
뜨겁다	暑い
허츠	ヘルツ
헤이워드	ヘイワード
팜플렛	パンフレット
공책	ノートブック
공책	ノート
하킴	ハキム
파워스	パワーズ
담요	毛布
담요	ブランケット
전단지	チラシ
비정상적	異常
가젤	ガゼル
메이데이	メーデー
정육점	肉屋
정육점	ブッチャー
프리스케일	freescale
볼펜	ボールペン
회전교차로	ラウンドアバウト
회전교차로	遠回り
동행자	コンパニオン
디디디	ディディ
궤양	潰瘍
하이킹	ハイキング
팔로우	フォロー
맥쿼리	マッコーリー
근황	モダン
현수막	休止
현수막	サスペンション
마이소르	マイソール
전리품	略奪
로프트	ロフト
카푸르	カプール
간음	姦淫
행렬식	行列式
플루타르코스	プルタルコス
섬광	グレア
갈증	渇き
커스터드	カスタード
비콘	ビーコン
비콘	灯台
로커빌리	ロカビリー
빠름	速い
빠름	高速
여드름	ニキビ
뷔페	ビュッフェ
클라겐푸르트	クラーゲンフルト
시간별	毎時
시간별	時給
릴리언	リリアン
깔때기	漏斗
샤크라	チャクラ
다짐	ジム
아티	アーティ
오랑우탄	オランウータン
롤리타	ロリータ
행복하다	ハッピー
행복하다	幸せ
켐프	ケンプ
첨가물	添加物
매칭	マッチング
의심스럽다	疑わしい
의심스럽다	疑念
타운젠드	タウンゼント
축척	スケール
축척	縮尺
축척	目盛
조부모	祖父母
디르함	ディルハム
선글라스	サングラス
사발	ボウル
자르기	トリミング
자르기	切り取る
자르기	切り取り
페티시즘	フェチ
타트라	タトラ
타코	タコス
하람	ハラーム
윌리암스	ウィリアムズ
세츠코	節子
크랩	カニ
랜딩	着陸
랜딩	上陸
소아마비	ポリオ
기절	気絶
기절	失神
프랭코	フランコ
아이튠스	itunes
설정하기	セットアップ
설정하기	設定
개럿	ギャレット
가용성	可用性
덴트	デント
칩스	チップス
칩스	チップ
브루투스	ブルトゥス
브루투스	ブルータス
핸들러	ハンドラ
콜렉터	コレクター
스릴	スリル
소렌토	ソレント
비스바덴	ヴィースバーデン
허니콤	蜂の巣
상속자	相続
정어리	イワシ
하녀들	メイド
레오나드	レナード
젤라틴	ゼラチン
내셔널리즘	ナショナリズム
당기	引っ張る
당기	プル
에페소스	エフェソス
람베르트	ランバート
포르토	ポルト
핸들링	ステアリング
메기목	ナマズ
그라임스	グライムズ
그라임스	グライムス
프라이미벌	プライミーバル
육수	ブイヨン
육수	ブロス
리베이트	リベート
억양	イントネーション
성냥	マッチ
성냥	一致
번역자	翻訳
록시	ロキシー
연회장	宴会
컬러링	塗り絵
셰이딩	シェーディング
스칼라장	スカラー
사이몬	シモン
사이몬	サイモン
아그리콜라	アグリコラ
아킬레스	アキレス
아킬레스	アキレウス
활성화하기	アクティブ
여보세요	こんにちは
여보세요	ハロー
갤럽	ギャラップ
캄포스	カンポス
번역중	翻訳
도마뱀과	トカゲ
프라이멀	プライマル
리로이	リロイ
에어로빅	エアロビクス
까다롭다	好き嫌い
파슬리	パセリ
비아위스토크	ビャウィストク
예레미야	ジェレマイア
코스모폴리탄	コスモポリタン
옥텟	オクテット
왓킨스	ワトキンス
떨어뜨리기	ドロップ
익사	溺死
고래잡이	捕鯨
질식	チョーク
니컬라	ニコラ
줄리아나	ジュリアナ
힘줄	天丼
애들	子供
애들	キッズ
공부해	勉強
카페테리아	カフェテリア
맥헨리	マクヘンリー
애매하다	曖昧
합치기	マージ
합치기	統合
이모가	叔母
이모가	おば
시스터스	姉妹
열일곱	seventeen
바실리스크	バジリスク
클럽하우스	クラブハウス
스케이트보드	スケート
타이밍이	タイミング
구석	コーナー
반죽이	生地
시큐어	ssh
직선형	リニア
직선형	線形
피타	ピータ
철사	ワイヤ
철사	針金
철사	ワイヤー
소울칼리버	ソウルキャリバー
센티널	sentinel
벌벌	ビー
슬라이스	スライス
트윗	ツイート
코란	コーラン
슬로바키아인	スロバキア
자취	トレース
캐스케이드	カスケード
캐스케이드	cascade
웃어	笑い
웃어	笑う
영양실조	栄養失調
무화과	イチジク
지나가	合格
레브	rev
평화롭고	平和
클로	クロエ
오시예크	オシエク
디코더	デコーダ
파괴됨	破壊された
어플리케이션	アプリケーション
라쿤	アライグマ
몸짓	身振り
몸짓	ジェスチャー
아리아드네	アリアドネー
에틸	エチル
에이브람스	エイブラムス
걸프렌즈	ガールフレンド
슈메이커	シューメーカー
볼프람	ヴォルフラム
거트루드	ゲルトルート
바람직	望ましい
페인팅	ペンキ
페인팅	ペイント
페인팅	塗料
나무들	樹木
맥킨지	マッキンゼー
일람표	スケジュール
탱커	タンカー
백분율	割合
백분율	パーセンテージ
백분율	パーセント
골치	面倒
스타우트	スタウト
심폐소생술	心肺
핫스팟	hotspot
마스킹	マスキング
하비브	ハビブ
랭스턴	ラングストン
허용하기	許可
창의력	創造性
창의력	創造力
오스프리	ミサゴ
윌킨스	ウィルキンス
스토너	ストーナー
뤼드베리	リュードベリ
욕조	風呂
욕조	入浴
글루텐	グルテン
접근법	進入
접근법	アプローチ
접근법	参道
패리시	パリッシュ
슬루프	スループ
사이프레스	ヒノキ
허영	うぬぼれ
대멸종	絶滅
대멸종	消滅
잘라내기	トリミング
잘라내기	切り取る
잘라내기	切り取り
놀기	遊ぶ
놀기	プレイ
놀기	遊び
됭케르크	ダンケルク
윤서	ユン
발진이	発疹
파렐	ファレル
퇴원	退院
퇴원	除隊
퇴원	分泌物
사모님	マダム
대소문자	大文字
저글링	ジャグリング
삭제됨	削除
맵핑	写像
맵핑	マッピング
종이접기	折り紙
게스트하우스	ゲストハウス
피부색	顔色
가벼움	軽い
가벼움	明るい
가벼움	ライト
굿나잇	goodnight
아오조라	青空
아틸라	アッティラ
큐피드	キューピッド
루비오	ルビオ
티라스폴	ティラスポリ
틸트	ティルト
틸트	傾き
카푸치노	カプチーノ
화나	動揺
스펜스	スペンス
에스콰이어	esquire
캐넌포	大砲
박멸	撲滅
기억하라	remember
채식	ベジタリアン
이웃들	近所
연수생	研修生
드루이드	ドルイド
로드리게즈	ロドリゲス
심부름	用事
스카프	スカーフ
엡손	epson
아라미스	アラミス
파트너쉽	パートナーシップ
미리엄	ミリアム
건포도	レーズン
엇갈린다	ミックス
엇갈린다	混合
교수님	教授
가정주부	主婦
설명해주세요	説明
애틀리	アトリー
색조	色合い
베란다	ポーチ
니카	ニカ
쇼크웨이브	shockwave
바람직해	望ましい
종기	沸騰
종기	茹でる
종기	せつ
뤼팽	ルパン
자카리아	ザカリー
핑크니	ピンクニー
홀스트	ホルスト
양복점	仕立て屋
안내원	受付
경색	梗塞
챔버스	チェンバーズ
챔버스	チェンバース
라텍스	latex
디오르	ディオール
기말고사	最終
기말고사	決勝
기말고사	ファイナル
마세루	マセル
루틴	ルーチン
루틴	日課
퓨즈	ヒューズ
퓨즈	布施
메탄올	メタノール
관측자	オブザーバー
관측자	オブザーバ
마취제	麻酔
지나가다	合格
무거움	重い
무거움	ヘビー
사일런스	サイレンス
사일런스	無音
사일런스	沈黙
최악	最悪
소울메이트	ソウルメイト
장난감이	おもちゃ
장난감이	オモチャ
장난감이	玩具
예리	シャープ
예리	鋭い
스코츠데일	スコッツデール
엘리어스	エリアス
엘리어스	イライアス
혈전	血栓
노즐	ノズル
매너리즘	マニエリスム
매니악	マニアック
메릿	メリット
나무껍질	バーク
나무껍질	樹皮
접착	封印
크로미엄	クロム
긴팔원숭이	テナガザル
단색	固体
샤르마	シャルマ
커리큘럼	カリキュラム
리모콘	リモート
툴레	トゥーレ
페임	名声
소바	そば
소바	蕎麦
샌들러	サンドラー
게시글	投稿
이슈타르	イシュタル
기울임꼴	イタリック
마임	mime
다포체	ポリトープ
펜트하우스	ペントハウス
윗층	二階
무통	無痛
라트비아인	ラトビア
뇌염	脳炎
헤어스타일	散髪
오버하우젠	オーバーハウゼン
스카우터	スカ
레모네이드	レモネード
레모네이드	ラムネ
포스트스크립트	postscript
포스트스크립트	追伸
라디오헤드	レディオヘッド
스피드웨이	スピードウェイ
슈사쿠	周作
폴리우레탄	ポリウレタン
피죤	ピジョン
피죤	ハト
커밋	コミット
영수증	レシート
영수증	受領
카루소	カルーソ
췌장	膵臓
여배우들	女優
시나몬	シナモン
딱따구리	キツツキ
충전기	充電器
충전기	チャージャー
프리스틀리	プリーストリー
쥬디	ジュディ
프린지	フリンジ
이슬비	霧雨
스테이플스	ステイプルズ
모셰	モーシェ
휩트	ホイップ
스와트	swat
스와트	スワット
노지리	野尻
배고픔	飢え
배고픔	空腹
코르셋	コルセット
브러시	ブラシ
조끼	ベスト
트라팔가르	トラファルガー
욥기	職業
욥기	仕事
욥기	ジョブ
슬레이드	スレイド
굶주림	飢え
굶주림	空腹
마멀레이드	マーマレード
복호화	復号
페르시안	ペルシャ
현실주의	リアリズム
파라곤	パラゴン
변비	便秘
클로디아	クラウディア
카르멜	カルメル
카르멜	カーメル
몬트세랫	モントセラト
재작성	書き換え
재작성	書き直し
재작성	リライト
축복이	祝福
축복이	恵み
양털	ウール
페르시아인	ペルシャ
미묘	微妙
지지자들	サポーター
터프	タフ
터프	厳しい
배리모어	バリモア
잇몸	歯茎
잇몸	ガム
밸러리	ヴァレリー
구속력	バインディング
구속력	拘束
겨자	マスタード
기후학	気候
태극권	タイ
네브라스카	ネブラスカ
인디카	indycar
카보우르	カヴール
셀레나	セレーナ
판스워스	ファーンズワース
엡스	エップス
ㅎㅎㅎ	lol
프린팅	印刷
불빛	ライト
시폰	シフォン
가운	ガウン
이쓰키	五木
발코니	バルコニー
보르	ボル
판매자	売主
사월	四月
사월	エイプリル
글래디스	グラディス
실버라이트	silverlight
불투명	不透明
루푸스	ルーファス
앨리사	アリッサ
깜빡	点滅
워치독	watchdog
결석	不在
결석	欠席
카플란	カプラン
실레시아	シレジア
허무주의	ニヒリズム
바딤	ヴァディム
테킬라	テキーラ
벌크	バルク
베켓	ベケット
사용량	使い方
바질리스크	バジリスク
헤리	ハリー
잠재력	ポテンシャル
수리공	メカニック
스왑	スワップ
평등주의	平等
다람쥐과	リス
보로딘	ボロディン
카튜샤	カチューシャ
베르사이유	ヴェルサイユ
파멸	廃墟
코커	コッカー
모세스	モーゼ
모세스	モーゼス
웹캠	ウェブカメラ
톰캣	tomcat
칫솔	歯ブラシ
표시됨	可視
안타레스	アンタレス
폐결핵	結核
뮬러	ミュラー
아누	アヌ
미성숙	未熟
빨아	吸う
버키	バッキー
파이어와이어	firewire
계략	策略
반복합니다	繰り返す
반복합니다	繰り返し
퍼트넘	パットナム
헤라트	ヘラート
카라라	カラ
엘리사벳	エリザベス
질감	テクスチャー
질감	テクスチャ
신랑이	花婿
첼트넘	チェルトナム
훔쳤다	ストール
인스톨러	インストーラー
인스톨러	インストーラ
덥다	熱い
덥다	ホット
덥다	暑い
듀폰	デュポン
에이브	イブ
에이브	イヴ
벤조디아제핀	ベンゾジアゼピン
가디언스	後見人
몰도바어	モルドバ
불러오기	輸入
메뉴얼	マニュアル
디마지오	ディマジオ
프랜	フラン
테라코타	テラコッタ
민달팽이	ナメクジ
마젠타	マゼンタ
이슈타르의	イシュタル
첼레	ツェリェ
콘티넨털	コンチネンタル
드레싱	ドレッシング
콜라주	コラージュ
느려	遅い
느려	スロー
세쌍둥이	三つ子
낮잠	昼寝
윌콕스	ウィルコックス
양초	ろうそく
양초	キャンドル
양초	蝋燭
킨들	kindle
우회로	バイパス
왓츠	ワッツ
모퉁이	コーナー
글라이드	グライド
분석가	アナリスト
피어싱	ピアス
세척	洗濯
세척	洗浄
보모	ナニー
벳시	ベッツィ
벳시	ベッツィー
형태학	形態
무시해	無視
공지사항	告知
공지사항	アナウンス
공지사항	発表
공지사항	公表
공지사항	お知らせ
감시자	ウォッチャー
로프웨이	ロープウェー
게토레이	ゲータレード
말들	ウマ
사워	酸っぱい
사워	すっぱい
사워	サワー
동공	瞳孔
경배	崇拝
쉬프트	シフト
콘덴서	コンデンサー
공허	無効
공허	ボイド
배고픈	空腹
코니카	コニカ
룽게	ルンゲ
침구	寝具
대시보드	ダッシュボード
카프리스	カプリス
지정됨	特定
지정됨	指定された
핍스	フィップス
헵번식	ヘプバーン
불편해	不快
사장님	ボス
눈빛	アイズ
시그너스	シグナス
오찬	昼食
오줌	小便
머스터드	マスタード
졸음	眠気
대행사	エージェンシー
대행사	代理店
캐쥬얼	カジュアル
지형학	地形
지형학	地誌
매버릭	マベリック
매버릭	マーベリック
레무스	レムス
애플릿	アプレット
동일함	同一
오픈타입	opentype
산뜻한	natty
도너츠	ドーナッツ
도너츠	ドーナツ
마케도니아인	マケドニア
욜란다	ヨランダ
외로움	孤独
외로움	寂しい
미클롱	ミクロン
유효합니다	有効
열립니다	開く
성공함	サクセス
성공함	成功
뱅고어	bangor
스매싱	潰し
본능이	本能
복원하기	復元
올리언스	オルレアン
정치인들	政治家
구라모토	蔵本
구라모토	蔵元
투석기	カタパルト
스웨터	セーター
모나크	君主
모나크	モナーク
봉오리	つぼみ
긴장감	緊張
긴장감	神経質
바빠	忙しい
바빠	ビジー
젊음	青年
젊음	若者
젊음	ユース
젊음	青春
글씨체	筆跡
글씨체	手書き
갱스	ギャング
검색하기	検索
장례식장	葬式
장례식장	葬儀
드라이어	ドライヤー
힌트	ヒント
스캐닝	スキャン
마크스	マークス
웅덩이	水たまり
브룩클린	ブルックリン
헤인스	ヘインズ
패리	パリー
로즈웰	ロズウェル
수잰	スザンヌ
햇볕	太陽
햇볕	sun
이케아	イケア
광대가	道化師
젤로	アンジェロ
코티지	コテージ
뉴스레터	ニュースレター
캡쳐	キャプチャー
캡쳐	キャプチャ
캡쳐	攻略
양동이	バケット
양동이	バケツ
로프터스	ロフタス
듀퐁	デュポン
마렝고	マレンゴ
경품	景品
블랙아웃	停電
트리스	トリス
앵귈라	アンギラ
알렉산더르	アレクサンドロス
알렉산더르	アレクサンダー
알렉산더르	アレキサンダー
매코믹	マコーミック
고르디아누스	ゴルディアヌス
언젠간	いつか
기억상실	健忘
머큐리얼	mercurial
벤치마킹	ベンチマーク
위키리크스	ウィキリークス
스로틀	スロットル
슬라이고	スライゴ
브로더릭	ブロデリック
그리즐리	グリズリー
장식품	装飾
구매자	バイヤー
인사말	あいさつ
인사말	挨拶
매리엇	マリオット
수두	水痘
오언스	オーエンス
브런치	ブランチ
웬트워스	ウェントワース
남음	残り
남음	残額
베르사체	ヴェルサーチ
레드먼드	レドモンド
트라이베카	トライベッカ
이구아나	イグアナ
새들	鳥類
깨물어	噛む
접선	タンジェント
선례	先例
선례	判例
앰브로즈	アンブローズ
인턴십	インターン
인턴십	インターンシップ
아스파라거스	アスパラ
아스파라거스	アスパラガス
애슐랜드	アシュランド
음영	シェーディング
프로파일링	プロファイル
매퀸	マックイーン
백선	白癬
숙성	老化
무기력	無気力
영업시간	時間
알로에	アロエ
콜로니아	コロニア
메틸화	メチル
모닥불	焚き火
폴리에스테르	ポリエステル
폴라로이드	ポラロイド
새로고침	リフレッシュ
새로고침	更新
아스피린	アスピリン
졸려	眠い
성인인	聖徒
성인인	セインツ
접힘	折りたたみ
인코더	エンコーダ
떨어짐	落ちる
떨어짐	落下
랜더	ランダー
피오르드	フィヨルド
매튜스	マシューズ
벨렝	ベレン
크레모나	クレモナ
휴지통	ごみ箱
휴지통	ゴミ箱
벼룩	ノミ
컴프레서	コンプレッサー
엑소	exo
아이아스	アイアース
위엄	威厳
위엄	品格
위엄	尊厳
척척	チャック
롬바르디	ロンバルディ
토렌트	torrent
눈꺼풀	まぶた
버지스	バージェス
매켈런	マッケラン
제이컵스	ジェイコブス
디프테리아	ジフテリア
쉐이크	ミルクセーキ
소개팅	紹介
소개팅	導入
엉망	混乱
존엄	威厳
존엄	品格
존엄	尊厳
일치하기	マッチ
일치하기	一致
소이어	ソーヤー
구두점	句読点
황달	黄疸
땋은	編み
언급하기	言及
버티기	めまい
브리지스톤	ブリヂストン
사물함	ロッカー
키레네	キュレネ
남친	彼氏
남친	ボーイフレンド
태반	胎盤
내세	来世
내세	あの世
염려	関心事
버티	バーティ
스카이프	skype
브라이튼	ブライトン
줄루어	ズールー
미니스커트	ミニスカート
포함함	含む
불편함	不快
이맥스	emacs
숙박시설	宿泊
미슐랭	ミシュラン
자폐	自閉症
발표자	司会
데스페라도	デスペラード
하몬드	ハモンド
카옌	カイエンヌ
헬리코박터	ヘリコバクター
오르가니스트	オルガニスト
이란어군	イラン
인터페론	インターフェロン
루피아	ルピア
도리안	ドリアン
사법제도	司法
알라리크	アラリック
불가피	やむを得ない
할랄	ハラール
바쁘다	忙しい
바쁘다	ビジー
제조업자	製造業者
렌치	レンチ
브루인스	ブルーインズ
로깅	伐採
로깅	ログ
결막염	結膜
일원론	一元論
멍청이	バカ
테사	テッサ
산레모	サンレモ
맥박	パルス
맥박	脈拍
스폰지	スポンジ
꽃병	花瓶
미얀마어	ミャンマー
검시	検死
동등성	同値
재생기	プレイヤー
재생기	プレーヤー
모레티	モレッティ
콜로서스	コロッサス
구경꾼	見物人
켄타우루스	ケンタウロス
반바지	ショーツ
외설	わいせつ
사서함	メールボックス
초우	チャウ
초우	チャウチャウ
환경설정	設定
마티니	マルティーニ
마티니	マティーニ
오토캐드	autocad
율리안	ジュリアン
아나스타시아	アナスタシア
발리우드	ボリウッド
수화물	荷物
목구멍	咽喉
소웨토	ソウェト
고막	鼓膜
흔들흔들	振る
흔들흔들	シェイク
흔들흔들	shake
페샤와르	ペシャワール
브레인스토밍	ブレインストーミング
몸매가	本文
몸매가	身体
몸매가	本体
몸매가	ボディ
다란	ダーラン
쉴라	シェイラ
레우	レウ
타월	タオル
크래킹	クラッキング
트래버스	トラバース
송송	歌曲
송송	ソング
크누드	クヌート
콧구멍	鼻孔
스팍	スポック
매트리스	マットレス
구원자	救世主
기쁨이	joy
기쁨이	ジョイ
기쁨이	喜び
골프선수	ゴルファー
답글	返信
게이브	ゲイブ
징벌	処罰
랩핑	ラップ
아쿠아리움	アクアリウム
아쿠아리움	水族館
카노푸스	カノープス
맨홀	マンホール
지나가다가	合格
번쩍	点滅
패들	パドル
부에노	ブエノ
